spec,n_eff,insurance_status,estimate,std.error,conf.low,conf.high,p.value
AME-weighted (primary),15155,Private,2723.170733161586,336.0377710799935,2064.548804399684,3381.7926619234886,5.328449695223723e-16
AME-weighted (primary),15155,Medicare/Other Public,2122.9712894442064,377.4113983177541,1383.2585413865077,2862.684037501905,1.854163842176526e-8
AME-weighted (primary),15155,Medicaid/Public Only,4930.962743552451,826.9622971271282,3310.146424610769,6551.779062494133,2.4804004518338073e-9
AME-weighted (primary),15155,Uninsured,676.7781806366722,428.68918607900184,-163.43718463996072,1516.9935459133053,0.11440137188385266
Cost-mean log1p,15155,Private,2760.426490782417,378.5253440578614,2018.5304491933766,3502.322532371458,3.0407407720316357e-13
Cost-mean log1p,15155,Medicare/Other Public,1130.7593904798957,229.38794008460974,681.167289426229,1580.3514915335625,8.245589947620009e-7
Cost-mean log1p,15155,Medicaid/Public Only,6104.527434409366,1159.0150491455995,3832.8996805440706,8376.15518827466,1.3867435330043377e-7
Cost-mean log1p,15155,Uninsured,887.4395986165009,471.2537113641897,-36.20070323814468,1811.0799004711466,0.05968056834778723
AME-weighted no cancer,15155,Private,2714.2293789737846,333.9613321581193,2059.6771957148526,3368.7815622327166,4.386823242177139e-16
AME-weighted no cancer,15155,Medicare/Other Public,2118.8679014207355,375.9046855387985,1382.108256144836,2855.627546696635,1.733237438009076e-8
AME-weighted no cancer,15155,Medicaid/Public Only,4930.447225407392,827.7529073732393,3308.0813388575234,6552.81311195726,2.5781703281254644e-9
AME-weighted no cancer,15155,Uninsured,668.7449012114132,428.1777733139766,-170.46811346453626,1507.9579158873626,0.11832583587614827
